node_idx,tender_id,country,n_pairs,entropy,normalised_entropy,max_attention,top_pair,top_pair_is_cartel,tender_label,pred_prob
1191,24,usa,3,1.0127900641879697,0.9218812447618024,0.42552727460861206,usa_22_119,1,1,0.9999064207077026
1333,300,usa,6,1.736349080988177,0.9690748735019938,0.24955712258815765,usa_11_43,1,1,0.9999017715454102
1719,975,usa,3,1.0868918129665222,0.9893315632616883,0.39759039878845215,usa_22_43,1,1,0.9998971223831177
2524,2310,usa,3,1.0873262569140012,0.9897270111844543,0.3964795172214508,usa_22_43,1,1,0.9998961687088013
2471,2227,usa,3,1.0873753958358565,0.9897717393586811,0.39569270610809326,usa_22_43,1,1,0.9998959302902222
2820,2821,usa,3,1.0856516730880599,0.9882027392978077,0.40116673707962036,usa_22_43,1,1,0.9998949766159058
2348,2015,usa,3,1.0814649250502937,0.9843917970018299,0.41152313351631165,usa_22_43,1,1,0.9998941421508789
2586,2409,usa,3,1.0825452190233125,0.9853751229523602,0.40899673104286194,usa_22_43,1,1,0.9998940229415894
2027,1498,usa,3,1.0875708546396123,0.9899496536290493,0.39529362320899963,usa_22_43,1,1,0.9998931884765625
1489,580,usa,6,1.608962428302906,0.8979790289575511,0.3329470157623291,usa_11_43,1,1,0.9998929500579834
1338,306,usa,6,1.6855251655943866,0.9407095062377779,0.28701233863830566,usa_11_43,1,1,0.9998922348022461
2819,2820,usa,3,1.0570448628127957,0.9621636984365906,0.45716696977615356,usa_22_43,1,1,0.9998914003372192
2032,1508,usa,3,1.0719151462546055,0.9756992137363854,0.4310646951198578,usa_22_43,1,1,0.9998910427093506
2053,1538,usa,3,1.0608255171596928,0.9656049983254534,0.45083367824554443,usa_22_43,1,1,0.9998900890350342
2818,2819,usa,3,1.069454220200537,0.9734591823081442,0.43683481216430664,usa_22_43,1,1,0.9998894929885864
1912,1305,usa,3,1.0872338796859171,0.9896429258078051,0.39630326628685,usa_22_43,1,1,0.9998892545700073
1451,514,usa,6,1.6803319479354821,0.9378111162763497,0.2905704081058502,usa_11_43,1,1,0.9998891353607178
1455,518,usa,6,1.6803924415412983,0.9378448784005942,0.29053205251693726,usa_11_43,1,1,0.9998891353607178
2584,2407,usa,3,1.0871424336610205,0.9895596880488251,0.39660748839378357,usa_22_43,1,1,0.9998890161514282
2049,1530,usa,3,1.0702831179592083,0.9742136775629499,0.4342626929283142,usa_22_43,1,1,0.9998890161514282
