country,label_budget,n_test,labelled_target_tenders,test_no_labelled_neighbour,base_rate,pr_auc,roc_auc,f1_best
brazil,0.0,101,0,101,0.32673267326732675,0.32673267326732675,0.5,0.4925373134328358
brazil,0.05,96,5,26,0.3229166666666667,0.4511705882779737,0.6771712158808934,0.5909090909090909
brazil,0.1,91,10,9,0.32967032967032966,0.6369492036211768,0.730327868852459,0.6024096385542169
brazil,0.15,86,15,7,0.32558139534883723,0.6059879215972785,0.6939655172413793,0.5853658536585366
brazil,0.2,81,20,5,0.32098765432098764,0.6008064110775074,0.7129370629370629,0.6024096385542169
brazil,0.25,76,25,4,0.32894736842105265,0.6348132216435255,0.7537254901960784,0.631578947368421
japan,0.0,1080,0,1080,0.11388888888888889,0.11388888888888889,0.5,0.20448877805486285
japan,0.05,1026,54,74,0.11403508771929824,0.35708930733206157,0.784552386862618,0.5035971223021583
japan,0.1,972,108,31,0.11419753086419752,0.37167950329013166,0.788392922539264,0.49411764705882355
japan,0.15,918,162,11,0.11437908496732026,0.42695192705544444,0.8691852632812043,0.5238095238095238
japan,0.2,864,216,7,0.11342592592592593,0.4728778543461144,0.8734014493525869,0.5447761194029851
japan,0.25,810,270,4,0.11358024691358025,0.4836064704382562,0.8948619353276008,0.5510204081632653
usa,0.0,2141,0,2141,0.18309201307800094,0.18309201307800094,0.5,0.30951440979076195
usa,0.05,2034,107,10,0.18289085545722714,0.9620758663026948,0.993378233246639,0.9585492227979274
usa,0.1,1927,214,6,0.18318629994810587,0.9638121632645185,0.9937592463941313,0.9631650750341064
usa,0.15,1820,321,1,0.18296703296703296,0.9468815241686896,0.9918795729152152,0.9473684210526315
usa,0.2,1713,428,1,0.1833041447752481,0.9469594844475445,0.9920268344540913,0.9500756429652042
usa,0.25,1606,535,1,0.18306351183063513,0.9688648319825952,0.9936535589845694,0.9499192245557351
