model,fn_fp_ratio,expected_cost
M4,1,0.03406813627254509
M4,2,0.04408817635270541
M4,5,0.07414829659318638
M4,10,0.12424849699398798
M4,20,0.22444889779559118
M4,50,0.5250501002004008
M4_mean,1,0.03006012024048096
M4_mean,2,0.04008016032064128
M4_mean,5,0.07014028056112225
M4_mean,10,0.12024048096192384
M4_mean,20,0.22044088176352705
M4_mean,50,0.5210420841683366
M3,1,0.03406813627254509
M3,2,0.04208416833667335
M3,5,0.06613226452905811
M3,10,0.1062124248496994
M3,20,0.18637274549098196
M3,50,0.42685370741482964
M2,1,0.08617234468937876
M2,2,0.10420841683366733
M2,5,0.15831663326653306
M2,10,0.24849699398797595
M2,20,0.4288577154308617
M2,50,0.969939879759519
MLP135,1,0.156312625250501
MLP135,2,0.19839679358717435
MLP135,5,0.3246492985971944
MLP135,10,0.5350701402805611
MLP135,20,0.9559118236472945
MLP135,50,2.218436873747495
MLP7,1,0.47695390781563124
MLP7,2,0.5370741482965932
MLP7,5,0.717434869739479
MLP7,10,1.0180360721442885
MLP7,20,1.6192384769539079
MLP7,50,3.4228456913827654
GCN,1,0.06012024048096192
GCN,2,0.06813627254509018
GCN,5,0.09218436873747494
GCN,10,0.13226452905811623
GCN,20,0.2124248496993988
GCN,50,0.4529058116232465
RF,1,0.036072144288577156
RF,2,0.06613226452905811
RF,5,0.156312625250501
RF,10,0.3066132264529058
RF,20,0.6072144288577155
RF,50,1.5090180360721444
HistGB,1,0.036072144288577156
HistGB,2,0.05410821643286573
HistGB,5,0.10821643286573146
HistGB,10,0.19839679358717435
HistGB,20,0.3787575150300601
HistGB,50,0.9198396793587175
