model,metric,point,lo,hi,n_valid_boot
M4,f1,0.8994082840236687,0.8497302860387537,0.9425287356321839,2000
M4,pr_auc,0.9792624318655607,0.9587965446445251,0.993899099461401,2000
M4,roc_auc,0.9943292574871522,0.9886406264790573,0.998603591636247,2000
M4,recall,0.9382716049382716,0.8795180722891566,0.9871794871794872,2000
M4,precision,0.8636363636363636,0.7872340425531915,0.9302325581395349,2000
M4_mean,f1,0.9101796407185628,0.8592566510172144,0.9528811210348014,2000
M4_mean,pr_auc,0.9786175450112042,0.958756679961499,0.9934950338530468,2000
M4_mean,roc_auc,0.9947722842459684,0.989634844644701,0.998452032269603,2000
M4_mean,recall,0.9382716049382716,0.8842105263157894,0.9866666666666667,2000
M4_mean,precision,0.8837209302325582,0.8117408585055644,0.9466666666666667,2000
M3,f1,0.9005847953216374,0.851063829787234,0.9452054794520548,2000
M3,pr_auc,0.9793884023332723,0.9589713126630887,0.9940246667390559,2000
M3,roc_auc,0.9948608895977318,0.9897904045208783,0.9985087763157589,2000
M3,recall,0.9506172839506173,0.8968983291859225,0.9886363636363636,2000
M3,precision,0.8555555555555555,0.780187969924812,0.9250132978723404,2000
M2,f1,0.7700534759358288,0.701412029120047,0.8342385491746105,2000
M2,pr_auc,0.762817228691211,0.6589405737294752,0.8625528550675263,2000
M2,roc_auc,0.9461279461279462,0.9183555717153113,0.9702428223109839,2000
M2,recall,0.8888888888888888,0.8194402610441767,0.9506172839506173,2000
M2,precision,0.6792452830188679,0.59,0.7657805001262944,2000
MLP135,f1,0.6060606060606061,0.5221567787534804,0.6822429906542056,2000
MLP135,pr_auc,0.7107036970659731,0.6221756409024195,0.7942664450103176,2000
MLP135,roc_auc,0.8740031897926633,0.8246791750930461,0.9177320977231763,2000
MLP135,recall,0.7407407407407407,0.6447368421052632,0.8333860759493669,2000
MLP135,precision,0.5128205128205128,0.42499446902654864,0.6020691609977322,2000
MLP7,f1,0.3,0.23748955167173252,0.3636490960020371,2000
MLP7,pr_auc,0.20960383661049592,0.16198591581282096,0.2856268565631504,2000
MLP7,roc_auc,0.5904660641502746,0.52421499900918,0.655846837529114,2000
MLP7,recall,0.6296296296296297,0.5223880597014925,0.7349397590361446,2000
MLP7,precision,0.1969111969111969,0.14959748501586556,0.244,2000
GCN,f1,0.8369565217391305,0.7761103573043872,0.8901114781172584,2000
GCN,pr_auc,0.966811208760165,0.9405676957441962,0.9873215625850513,2000
GCN,roc_auc,0.9924390099828697,0.9866551800703078,0.9969484150015242,2000
GCN,recall,0.9506172839506173,0.8974264705882353,0.9886363636363636,2000
GCN,precision,0.7475728155339806,0.6571428571428571,0.8315815528921313,2000
RF,f1,0.88,0.8175150745794986,0.9294159072079536,2000
RF,pr_auc,0.950113707802697,0.9126000052731212,0.9792904073645188,2000
RF,roc_auc,0.9828843995510662,0.9682005614618236,0.994122453858284,2000
RF,recall,0.8148148148148148,0.7236643944197845,0.8974358974358975,2000
RF,precision,0.9565217391304348,0.9,1.0,2000
HistGB,f1,0.8888888888888888,0.8345299919005194,0.9341337062716673,2000
HistGB,pr_auc,0.9398255311710101,0.8969505348151893,0.9749721135189424,2000
HistGB,roc_auc,0.9711441904424359,0.9452476354763867,0.9918336792758292,2000
HistGB,recall,0.8888888888888888,0.8115942028985508,0.9512195121951219,2000
HistGB,precision,0.8888888888888888,0.8192771084337349,0.9529411764705882,2000
