metric,mean_diff,ci_lo,ci_hi,p_two_sided,n_valid_boot,model_a,model_b
f1,-0.0010313531160480993,-0.04602135037486904,0.046708955736074836,0.973,2000,M4,M3
pr_auc,-7.40586162449478e-05,-0.017586541476284502,0.017145479229184562,0.985,2000,M4,M3
roc_auc,-0.0006231651144237015,-0.005911480534242586,0.004389347080830675,0.824,2000,M4,M3
recall,-0.012964917383419958,-0.07042253521126751,0.04055442428730095,0.821,2000,M4,M3
f1,0.01978704904921849,-0.03637242938664179,0.07954887088494472,0.525,2000,M4,RF
pr_auc,0.029142537895567613,0.008756746937058257,0.05644624656730484,0.0,2000,M4,RF
roc_auc,0.011786689077481902,0.0024861466325660415,0.02439746219734332,0.003,2000,M4,RF
recall,0.12285716556535237,0.05405405405405406,0.19696969696969702,0.0,2000,M4,RF
f1,0.01045656476487248,-0.04080404147861679,0.06255378017970553,0.669,2000,M4,HistGB
pr_auc,0.03919956069017962,0.014354836141862832,0.06978925192945644,0.0,2000,M4,HistGB
roc_auc,0.02308274116178619,0.005816265691747169,0.04640452665087339,0.001,2000,M4,HistGB
recall,0.05003240366841767,0.011627906976744096,0.10391064159720871,0.031,2000,M4,HistGB
f1,0.2939017947290328,0.21980893065827872,0.3748975215524344,0.0,2000,M4,MLP135
pr_auc,0.26694723306028084,0.1927923661920895,0.3537756416769806,0.0,2000,M4,MLP135
roc_auc,0.119858213992601,0.07865354162860103,0.16471793011039806,0.0,2000,M4,MLP135
recall,0.19893471638675095,0.1159420289855072,0.2933684210526314,0.0,2000,M4,MLP135
f1,0.5997262726196311,0.5279383778805683,0.6706511937524847,0.0,2000,M3,MLP7
pr_auc,0.7612116072365323,0.6936552613193451,0.8206161035119454,0.0,2000,M3,MLP7
roc_auc,0.4031494362533181,0.33753231186791216,0.47113413738944243,0.0,2000,M3,MLP7
recall,0.3207794219808852,0.20337754851387868,0.43903779147681576,0.0,2000,M3,MLP7
f1,0.131171532546819,0.06674176719980242,0.19811813186813182,0.001,2000,M3,M2
pr_auc,0.20992863815813945,0.1157377067362795,0.30682011377076657,0.0,2000,M3,M2
roc_auc,0.048829732342306004,0.025245483084867775,0.07908924376737746,0.0,2000,M3,M2
recall,0.061782233101891904,-0.01043097527472524,0.1348390525356817,0.118,2000,M3,M2
