country,model,ratio,f1,f1_sd,pr
brazil,M3,0.0,0.4251745189676224,0.16439451118670761,0.5760474461871606
brazil,M3,0.05,0.5300450199573007,0.05458591197663696,0.6969672861524804
brazil,M3,0.1,0.6209120447518347,0.014308942981454471,0.7321396386286834
brazil,M3,0.15,0.6625091575091575,0.03489092708608131,0.7340725466717972
brazil,M3,0.2,0.6565518735109378,0.07677871649282077,0.7189291676764143
brazil,M3,0.25,0.65125373821026,0.01589300708480872,0.657375667023924
brazil,M4,0.0,0.13153153153153152,0.02796181224500849,0.6420172523146752
brazil,M4,0.05,0.5818431879066207,0.013507970762341032,0.488689900187437
brazil,M4,0.1,0.5292307692307693,0.042635096801695464,0.48803549153208925
brazil,M4,0.15,0.4957622960528191,0.05180337742589557,0.460958733064452
brazil,M4,0.2,0.5239234449760765,0.02282151199562069,0.5009688624929493
brazil,M4,0.25,0.5153759820426487,0.0054430328408449705,0.523611579376623
japan,M3,0.0,0.16679618338056176,0.046995492291607,0.09844328319256321
japan,M3,0.05,0.4034380837144656,0.018967735771097984,0.29460445050450973
japan,M3,0.1,0.4731003281886876,0.044210499091738915,0.3536660278995294
japan,M3,0.15,0.4763978038481418,0.030225555149574,0.3589086036421025
japan,M3,0.2,0.5054898063931653,0.04048932787346711,0.47127488279696395
japan,M3,0.25,0.5179649661159642,0.023148181835981427,0.517805484804028
japan,M4,0.0,0.19116250037059923,0.02937146830120486,0.11081055525319135
japan,M4,0.05,0.49423691649934565,0.012483159501437574,0.4053406294713491
japan,M4,0.1,0.532252340309171,0.016848083008813998,0.44569011918901874
japan,M4,0.15,0.5197588474170308,0.05648413079935091,0.4432926383283771
japan,M4,0.2,0.5216101234098985,0.005810188388735309,0.4393350616912001
japan,M4,0.25,0.540193086131134,0.009353367615088965,0.5251378788756926
usa,M3,0.0,0.30984744507787326,0.0005490539118405042,0.2479144674872153
usa,M3,0.05,0.7562822962978873,0.0719544047542813,0.8201338791728091
usa,M3,0.1,0.876290578973027,0.04795743595844632,0.8419292637202429
usa,M3,0.15,0.8640248514249063,0.012477395289593863,0.8041023830949502
usa,M3,0.2,0.8800943538181603,0.015854143070877628,0.8365545792205135
usa,M3,0.25,0.8622678071299928,0.010147528720611441,0.8203172415761508
usa,M4,0.0,0.3157491990062902,0.015679462653078357,0.2741556508143976
usa,M4,0.05,0.9718632680345153,0.015343323763277978,0.9999683361039757
usa,M4,0.1,0.98972525227179,0.0028918830337832492,0.9999247534551023
usa,M4,0.15,0.9856256421872469,0.012410464714027632,0.9988132146870999
usa,M4,0.2,0.9848925896653619,0.00875136314285702,0.9999865303285834
usa,M4,0.25,0.9938034481181689,0.0009703033060190737,1.0
